,avg_energy,avg_fourier,max_fourier,max_energy,avg_main_data,4,Label
745,129,462,1039,508,174,2,
746,43,85,351,114,59,5,
747,62,114,497,142,77,5,
748,61,88,490,142,83,1,
749,51,104,412,140,77,4,
750,35,40,287,140,46,0,
751,57,194,457,711,45,7,
752,181,650,1450,711,342,3,
753,79,147,635,386,77,0,
754,63,72,505,157,79,1,
755,62,54,498,97,89,4,
756,84,428,676,743,41,1,
757,30,33,240,52,41,1,
758,28,25,229,60,36,6,
759,32,45,263,60,47,2,
760,32,35,260,53,43,1,
761,44,69,354,134,54,6,
762,65,115,525,134,93,2,
763,65,98,522,174,77,6,
764,101,294,815,330,161,5,
765,144,256,1154,330,207,1,
766,155,393,1242,439,231,5,
767,88,222,707,439,71,1,
768,31,29,254,94,38,7,
769,40,59,322,94,62,3,
770,29,27,238,52,38,0,
771,31,36,248,51,43,5,
772,28,31,228,51,38,1,
773,29,32,235,53,41,4,
774,40,96,322,125,61,4,
775,30,35,244,125,37,0,
776,33,35,270,133,40,7,
777,58,89,466,133,85,3,
778,65,61,522,109,97,3,
779,49,41,393,98,66,0,
780,129,142,1039,251,194,7,
781,142,183,1142,251,223,3,
782,51,102,413,230,46,0,
783,30,24,243,55,38,7,
784,34,52,277,68,52,5,
785,30,38,244,68,40,1,
786,27,25,220,54,36,1,
787,38,47,304,84,50,6,
788,53,68,431,89,81,5,
789,80,184,645,231,119,5,
790,102,114,823,257,109,7,
791,149,195,1196,263,244,4,
792,67,171,539,282,79,6,
793,133,489,1067,515,233,5,
794,78,285,624,515,58,1,
795,33,46,270,62,49,2,
796,29,28,235,53,38,1,
797,37,56,296,103,45,6,
798,42,74,343,103,63,2,
799,29,26,238,61,40,0,
800,50,147,405,556,41,7,
801,117,504,940,556,192,3,
802,59,127,472,164,91,2,
803,34,26,278,58,44,1,
804,80,254,644,391,88,1,
805,40,51,324,167,42,7,
806,101,140,815,251,161,7,
807,113,181,906,251,172,3,
808,48,89,388,192,46,1,
809,47,64,379,92,70,5,
810,48,54,389,92,64,1,
811,46,62,372,101,65,4,
812,55,148,442,554,46,7,
813,143,510,1144,554,257,3,
814,70,90,565,335,84,0,
815,54,51,433,86,74,2,
816,27,21,217,43,37,4,
817,27,26,219,48,37,4,
818,78,334,629,368,121,5,
819,81,194,653,368,89,1,
820,48,36,391,84,65,7,
821,120,381,963,454,194,4,
822,151,182,1211,454,175,0,
823,177,205,1420,317,279,3,
824,77,117,623,277,81,0,
825,86,169,695,430,75,7,
826,149,379,1193,430,255,3,
827,71,63,570,129,95,0,
828,26,25,212,45,34,1,
829,27,35,218,47,39,5,
830,26,25,214,47,35,1,
831,27,32,216,46,38,0,
832,27,28,218,50,35,7,
833,33,32,266,53,48,5,
834,34,35,273,62,46,4,
835,37,66,298,89,54,5,
836,32,43,260,89,40,1,
837,64,172,516,398,41,7,
838,114,394,919,398,202,3,
839,56,54,454,95,83,6,
840,27,29,216,47,35,3,
841,26,31,214,49,37,7,
842,26,28,215,49,35,3,
843,27,36,216,49,39,2,
844,26,22,212,46,34,6,
845,27,38,216,49,39,5,
846,26,24,212,49,34,1,
847,26,33,214,45,38,5,
848,27,29,217,49,36,4,
849,28,31,227,49,39,0,
850,28,31,229,49,40,7,
851,28,27,228,51,37,6,
852,27,31,216,45,38,7,
853,26,25,213,49,34,6,
854,27,37,217,49,39,2,
855,26,22,213,45,34,1,
856,27,35,216,47,39,5,
857,39,53,315,84,52,7,
858,44,58,353,95,60,7,
859,55,100,442,128,90,5,
860,52,109,421,392,41,7,
861,86,352,688,392,152,3,
862,38,38,309,126,48,0,
863,33,39,266,60,47,2,
864,27,33,216,48,38,2,
865,26,24,213,47,35,6,
866,27,36,218,47,40,2,
867,26,23,214,47,34,1,
868,27,37,217,49,39,5,
869,26,24,214,49,34,1,
870,27,34,216,47,39,5,
871,26,26,215,47,35,1,
872,27,31,218,47,38,0,
873,28,29,225,51,38,4,
874,28,30,229,51,39,0,
875,28,29,228,50,39,7,
876,26,26,215,50,35,1,
877,26,33,215,46,38,5,
878,26,26,214,47,35,4,
879,26,31,215,47,38,0,
880,31,40,251,146,36,7,
881,112,443,897,503,200,4,
